row_id	leaf_nr	scanwidth	level	ret_number	time_load_net	time_sw_load	time_sw_compute	time_sw_canonical	time_panda1	time_panda2	time_panda3	k1	k2	k3	diversity1	diversity2	diversity3
3040	50	8	14	14	0.0017178070002046297	0.00019411699986449094	0.11041003900027135	0.00038995399972918676	0.11357859100007772	1.1390408890001709	3.714930602000095	5	25	50	26.402081339830996	43.04725290293099	47.56441590126099
3041	50	8	14	14	0.0017119209996963036	0.00019109300001218799	0.11912765199986097	0.000383730000066862	0.07056845399984013	0.7914301770001657	2.673140031999992	5	25	50	26.219088857380004	47.32264510547998	52.37476563307998
3042	50	7	14	14	0.0016493020002599224	0.00019661800024550757	0.07213490499998443	0.0004531370000222523	0.03858229899969956	0.4032576610002252	1.4129124520000005	5	25	50	24.391192279129996	41.321507101150004	45.46467232599201
3043	50	8	14	14	0.0014612019999731274	0.00019133300020257593	0.23440882299973964	0.0004017440001007344	0.0729348210002172	0.562449271999867	1.9635521320001317	5	25	50	34.932147620510015	51.884623091358	56.466484730053004
3044	50	7	14	14	0.001617602999886003	0.0002003939998758142	0.07169066400001611	0.0003921259999515314	0.05362112000011621	0.5953979050000271	2.095965062999767	5	25	50	31.2939098981002	46.32931072276119	49.572433708342196
3045	50	8	14	14	0.0015150929998526408	0.00019639299989648862	0.3066064610002286	0.0004500029999690014	0.08294758800002455	0.990592819000085	3.337571920999835	5	25	50	28.038350484100004	49.60633124195301	54.813794593684
3046	50	9	14	14	0.0015815619999557384	0.0001972810000552272	0.26121984700012035	0.00046879299998181523	0.11227194499997495	1.2749684489999709	4.23220772500008	5	25	50	20.98120705421	43.43252201239	51.86690345607
3047	50	6	14	14	0.0016505369999322284	0.0002015430000028573	0.06086599100035528	0.0005075290000604582	0.0237633429997004	0.21344154500002332	0.7696999479999249	5	25	50	27.280882065956003	44.46358645555601	49.16944824630601
3048	50	7	14	14	0.0015465540000150213	0.0001926400000229478	0.10336033100020359	0.00038917599977139616	0.08512276400006158	0.7249220950002382	2.4549650949998068	5	25	50	25.344802176662	46.774112113985986	51.88681904261598
3049	50	8	14	14	0.0015867510001044138	0.0001970390003407374	0.140497041999879	0.00044002499998896383	0.08759098200016524	1.0341744829997879	3.440483759000017	5	25	50	28.984533190789996	44.63933882162999	48.169631361799986
3050	50	7	14	14	0.001781427999958396	0.00020052399986525415	0.060503186999994796	0.00043445100027383887	0.05521050800007288	0.34982141899990893	1.2123763079998753	5	25	50	27.207049723076004	45.872731007876006	49.07155208410601
3051	50	8	14	14	0.00151419799976793	0.00019497499988574418	0.17053511699987212	0.0004371119998722861	0.03293119800036948	0.331234583999958	1.068011039999874	5	25	50	26.003855270096	43.36197899121898	47.348673883082384
3052	50	7	14	14	0.0014903070000400476	0.00019770500011873082	0.07292374700000437	0.00042272499968021293	0.0352049180000904	0.36588679500027865	1.2100973739998153	5	25	50	31.52876765659	62.87562431348401	69.633582642694
3053	50	9	14	14	0.0015550009998150927	0.00019662500017147977	0.4650821290001659	0.00039706299958197633	0.2007146650003051	1.8413289979998808	6.101233842000056	5	25	50	27.806631301257003	44.72617367388798	48.97995045392799
3054	50	7	14	14	0.0017163899997285625	0.00019897599986506975	0.11405577799996536	0.0003951200001210964	0.04878257100017436	0.535172916999727	1.9083870230001594	5	25	50	31.075159348139994	44.24626646163999	47.744593179220004
3055	50	8	14	14	0.0015279119998012902	0.00020025399999212823	0.312221572999988	0.000439812999957212	0.08702244500000234	1.0468293009998888	3.5027696310003194	5	25	50	19.805875597525997	34.70371563869799	38.471521418369996
3056	50	7	14	14	0.0017118729997491755	0.00019488599991746014	0.10265598699970724	0.00043811900013679406	0.07789738800011037	0.6414560359999086	2.244455121000101	5	25	50	22.1740014474923	38.9260553457223	42.5994955353623
3057	50	7	14	14	0.0016731590003473684	0.00019877300019288668	0.1157427349999125	0.0004125350001231709	0.033623317000092356	0.3554672529999152	1.2429064899997684	5	25	50	28.558223801959002	50.650606960482	56.68019438976199
3058	50	8	14	14	0.0015195289997791406	0.0002137269998456759	0.26520202900019285	0.0005735309996452997	0.10380856200026756	0.9551395379999121	3.094898024000031	5	25	50	29.440864251563003	49.457883362913	53.863127273658996
3059	50	8	14	14	0.001711978999992425	0.00019490300019242568	0.20322116699981052	0.0004634990000340622	0.09403806000000259	0.8410465980000481	2.878071633000218	5	25	50	30.874736689986996	52.758999149663396	56.8080379750068
3060	50	8	14	14	0.0017259350001950224	0.00019886900008714292	0.1550998399998207	0.0003993830000581511	0.056926864000161004	0.6596791759998268	2.2296172330002264	5	25	50	29.661467945793	48.54175645096299	53.76049407346499
3061	50	7	14	14	0.0015757880000819569	0.0001927619996422436	0.06862166300015815	0.0003779730000132986	0.03900256399992941	0.4210372030001963	1.3872716890000447	5	25	50	27.473358735879998	40.546846541349794	43.21246744309679
3062	50	8	14	14	0.001538090999929409	0.0001923209997585218	0.2492277119999926	0.0003785730000345211	0.11340010699996128	1.0980978860002324	3.770102052999846	5	25	50	30.608663405699993	52.48236660788001	56.75508323317201
3063	50	8	14	15	0.0017690980002953438	0.00019894400020348257	0.16232538499980365	0.0004297380000934936	0.07785997700011649	0.9419000159996358	3.083182321000095	5	25	50	26.260933083713002	43.52216390550299	47.31323061716899
3064	50	8	14	14	0.001669012000093062	0.00019886700010829372	0.21477509299984376	0.0003772420000132115	0.09519515200008755	0.8923861879998185	2.9598296019998998	5	25	50	17.619194064290006	33.71583466007169	38.364294084511684
3065	50	7	14	14	0.0016469760003019474	0.00019934300007662387	0.07915554400005931	0.00043085699962830404	0.03823737600032473	0.37634228399974745	1.295318024000153	5	25	50	27.736391665297994	47.08655466730302	51.261051881817004
3066	50	8	14	14	0.001530653999907372	0.00019388700002309633	0.15816700300001685	0.00039196300031107967	0.08383667699990838	0.717229610999766	2.4317206890000307	5	25	50	29.121638153445996	44.55133745569599	50.477142171956004
3067	50	7	14	14	0.0017049289999704342	0.0001978290001716232	0.045342832999722305	0.0004497110003285343	0.04712715300001946	0.5220466009996017	1.6761567060002562	5	25	50	30.364158183669996	46.43903342989999	50.825871710579996
3068	50	7	14	14	0.0015121249998628628	0.0002147059999515477	0.12697295699990718	0.0003837819999716885	0.038241044000187685	0.42069686100012404	1.4097478079997927	5	25	50	28.073464145114993	44.33938810040601	48.56836502456601
3069	50	8	14	14	0.0014743629999429686	0.00019546499970601872	0.13999949300023218	0.0003763139998227416	0.055055095000170695	0.332328987999972	1.1744264079998175	5	25	50	26.171164388330997	44.923019777120004	49.582634872331
3070	50	8	14	14	0.0015135629996620992	0.0001986540000871173	0.23646156099994187	0.0004535990001386381	0.06892710000010993	0.8033837579996543	2.556595713000206	5	25	50	23.646810896197998	41.577573958548	46.86722951595801
3071	50	9	14	14	0.0017353379998894525	0.00022529499983647838	0.18333910699993794	0.0003895899999406538	0.14661883000007947	1.3890018410002085	4.645788761999938	5	25	50	23.787218940353902	43.86833534077291	47.72847720832191
3072	50	8	14	15	0.001667301999987103	0.00019774900010816054	0.2599276790001568	0.0005219949998718221	0.047945473000254424	0.5177360549996592	1.7316604679999728	5	25	50	31.867031566174	48.55230982577701	52.50873125666302
3073	50	8	14	14	0.0015257109998856322	0.00019717399982255301	0.44036554800004524	0.00039174600033220486	0.11581733899993196	1.038060571999722	3.643164478000017	5	25	50	28.70345552339	51.630044635432995	55.444436255122
3074	50	8	14	14	0.0016811149998829933	0.000194395000107761	0.1888131269997757	0.00046345900000233087	0.11011191399984455	1.3383198110000194	4.404306893000012	5	25	50	26.2177091174997	44.28531652904471	48.452576098382494
3075	50	8	14	15	0.0018231180001748726	0.00019884899984390358	0.0958925229997476	0.0004167810002400074	0.04440387600016038	0.49217091999980767	1.5774100089997773	5	25	50	29.04368681913	54.32575585305999	60.596582734346995
3076	50	8	14	14	0.0015064609997352818	0.00019314700011818786	0.20825097899978573	0.0005140150001352595	0.13808695999978227	1.3484036630002265	4.578479964000053	5	25	50	26.3249800679798	38.27463216074081	42.39019356741681
3077	50	8	14	14	0.001890283000193449	0.00020072899997103377	0.17064060800021252	0.00038468000002467306	0.0846846029999142	0.7442216549998193	2.5146601250003187	5	25	50	27.711909599700004	44.00918621595	47.845039334249
3078	50	8	14	14	0.019531200000074023	0.00020932200004608603	0.3062477920002493	0.0004543769996416813	0.06518234500026665	0.47934864599983484	1.6245906829999512	5	25	50	27.917940278589995	43.33194645428419	47.291488576948375
3079	50	8	14	14	0.0015072619999045855	0.0001939590001711622	0.2556276529999195	0.0004293169999982638	0.06692899099971328	0.7514536520002366	2.586770326000078	5	25	50	28.641902993838006	47.014126146318006	51.571840749188
3080	50	8	14	15	0.0016889690000425617	0.00019964800003435812	0.22718765100034943	0.0003890499997396546	0.05357119000018429	0.5826819119997708	2.004509400000188	5	25	50	18.37217928149	30.368705945334003	32.94647804692399
3081	50	8	14	17	0.0016502240000590973	0.00020499699985521147	0.08171050800001467	0.0004924250001749897	0.048620000000028085	0.4951211960001274	1.6959442959996522	5	25	50	28.152100624128796	46.4538541031288	51.3038567200488
3082	50	8	14	15	0.0016226060001827136	0.0002008229998864408	0.06727469599991309	0.0004441610003595997	0.04102084799978911	0.4159401980000439	1.3853748020001149	5	25	50	26.155393117370004	45.59655045074799	51.58281983351501
3083	50	8	14	14	0.0016133120002450596	0.0002036470000348345	0.14839514000004783	0.0003792910001720884	0.09227481700008866	0.8276863420001064	2.863954869999816	5	25	50	32.478654613485006	52.86949476295399	60.17454715073799
3084	50	8	14	16	0.0017771660000107659	0.00024200799998652656	0.11047778100009964	0.00044762299967260333	0.09472031099994638	1.1296820090001347	3.812457667000217	5	25	50	31.933927101868	52.55327822119799	56.82995209230299
3085	50	8	14	14	0.0018221200002699334	0.0002129270001205441	0.21667765800020788	0.0004191959997115191	0.07430002799992508	0.6115854910003691	1.97736746199962	5	25	50	21.609702046295993	39.299418817706005	43.04914003696201
3086	50	9	14	15	0.0016538290001335554	0.00019983100037279655	0.4726765529999284	0.00047663799978181487	0.16068773699998928	1.322075955999935	4.3241767449999315	5	25	50	24.618778017131003	41.599469731671	46.999924647301995
3087	50	7	14	15	0.001836880000155361	0.0001984460000130639	0.0702289880000535	0.0004969149999851652	0.05029020499978287	0.5726509220003209	1.878716668999914	5	25	50	29.823317382385003	47.984049228145004	51.73026256102941
3088	50	9	14	14	0.0015045519999148382	0.0001914770000439603	0.4812135910001416	0.0004595849995894241	0.09118563600031848	1.0861185059998206	3.6996521420001045	5	25	50	24.057876064304004	36.35408135871699	39.65335283826099
3089	50	8	14	14	0.0016465819999211817	0.00020059199960087426	0.32461906600019574	0.00042768299999806914	0.059795962999942276	0.6648469970000406	2.245154011000068	5	25	50	29.70954062171	50.889142621337	54.53370528011483
3090	50	7	14	16	0.0015874179998718319	0.00020057100027770502	0.20422849099986706	0.00038635000009890064	0.056952854999963165	0.37678515300012805	1.3447386879997794	5	25	50	26.297261922877	41.83079518888699	46.7039795498242
3091	50	8	14	15	0.001556048000111332	0.0001999770001930301	0.3513442179996673	0.0003960640001423599	0.12462069699995482	1.168727319000027	3.964482758000031	5	25	50	25.910436220181197	39.4287661224292	43.0302253730092
3092	50	8	14	14	0.001791070999843214	0.0002189030001318315	0.19070988499970554	0.000573040000290348	0.07520852700008618	0.8807626709999568	2.9135463539996636	5	25	50	28.580438173419992	47.35151876542	53.65438772047601
3093	50	7	14	14	0.0016943149998951412	0.00019417799967413885	0.12677771400012716	0.0004126520002500911	0.039921403999869653	0.40656159599984676	1.4597116310001184	5	25	50	28.5735490512	44.702840668213	50.226923794351
3094	50	9	14	14	0.0014999159998296818	0.00018946000000141794	0.3273537009999927	0.00041844599991236464	0.1087421050001467	0.9637562880002406	3.2454010479996214	5	25	50	25.525447907700002	39.81757238179501	43.16221388637101
3095	50	8	14	14	0.001824849000058748	0.00020306600026742672	0.22542143399959969	0.00037992400029907003	0.10083921099976578	0.9318691490002493	3.1236444839996693	5	25	50	27.671766741679996	50.0951978134037	57.4048948338737
3096	50	7	14	14	0.0016916959998525272	0.00019677000000228873	0.08806673299977774	0.0004316780000408471	0.032880434000162495	0.3184524859998419	1.0985267649998605	5	25	50	36.38645545977799	53.98869275734199	57.162003113752995
3097	50	8	14	14	0.001493122999818297	0.00018986700024470338	0.2160270969998237	0.000499811999816302	0.09869051400028184	0.9205519909996838	3.0204686140000376	5	25	50	26.708749635224006	42.29089968746298	46.92654324210199
